"","ID_ATC7","ATC7_NOMBRE.NAME"
"90","B03AC02","HIERRO SACARATADO, ÓXIDO DE"
"91","B03BA01","CIANOCOBALAMINA"
"92","B03BA51","CIANOCOBALAMINA, COMBINACIONES "
"93","B03BB01","ÁCIDO FÓLICO"
"94","B03XA02","DARBEPOETINA ALFA"
"95","B05AA01","ALBÚMINA"
"96","B05AA06","GELATINA, AGENTES CON"
"97","B05BA01","AMINOÁCIDOS"
"98","B05BA03","CARBOHIDRATOS"
"99","B05BA10","COMBINACIONES"
"100","B05BA91","GLUCOSA"
"101","B05BB01","ELECTROLITOS"
"102","B05BB02","ELECTROLITOS CON CARBOHIDRATOS"
"103","B05BB92","SUERO GLUCOSALINO"
"104","B05BC01","MANITOL"
"105","B05CB01","CLORURO DE SODIO"
"106","B05CX11","AGUA"
"107","B05XA01","CLORURO DE POTASIO"
"108","B05XA02","BICARBONATO DE SODIO"
"109","B05XA03","CLORURO DE SODIO"
"110","B05XA05","SULFATO DE MAGNESIO"
"111","B05XA06","FOSFATO DE POTASIO, INCL. COMBINACIONES CON OTRAS SALES DE POTASIO"
"112","B05XA07","CLORURO DE CALCIO"
"113","B05XA09","FOSFATO DE SODIO"
"114","B05XA17","ACETATO DE POTASIO"
"115","B05XC10","VITAMINAS HIDROSOLUBLES"
"116","B05XC20","VITAMINAS LIPOSOLUBLES"
"117","B05ZB10","HEMOFILTRADOS"
"118","C01AA05","DIGOXINA"
"119","C01BA02","PROCAINAMIDA"
"120","C01BB01","LIDOCAÍNA"
"121","C01BB91","FENITOINA"
"122","C01BC03","PROPAFENONA"
"123","C01BC04","FLECAINIDA"
"124","C01BD01","AMIODARONA"
"125","C01CA02","ISOPRENALINA"
"126","C01CA03","NOREPINEFRINA"
"127","C01CA04","DOPAMINA"
"128","C01CA07","DOBUTAMINA"
"129","C01CA24","EPINEFRINA"
"130","C01CA26","EFEDRINA (CARDIOLOGIA)"
"131","C01CE02","MILRINONA"
"132","C01CX08","LEVOSIMENDÁN"
"133","C01DA02","TRINITRATO DE GLICERILO"
"134","C01DA14","MONONITRATO DE ISOSORBIDA"
"135","C01DA53","TRINITRATO DE GLICERILO, COMBINACIONES"
"136","C01DA59","TROLNITRATO, COMBINACIONES "
"137","C01EB10","ADENOSINA"
"138","C01EB15","TRIMETAZIDINA"
"139","C01EB17","IVABRADINA"
"140","C01EB18","RANOLAZINA"
"141","C02AC01","CLONIDINA"
"142","C02CA04","DOXAZOSINA"
"143","C02CA06","URAPIDIL"
"144","C02DB02","HIDRALAZINA"
"145","C03AA03","HIDROCLOROTIAZIDA"
"146","C03BA04","CLORTALIDONA"
"147","C03BA11","INDAPAMIDA"
"148","C03CA01","FUROSEMIDA"
"149","C03CA04","TORASEMIDA"
"150","C03DA01","ESPIRONOLACTONA"
"151","C03DA04","EPLERENONA"
"152","C03EA01","HIDROCLOROTIAZIDA Y AGENTES AHORRADORES DE POTASIO"
"153","C04AD03","PENTOXIFILINA"
"154","C05AA10","FLUOCINOLONA, ACETÓNIDO DE"
"155","C05BA04","PENTOSÁN POLISULFATO DE SODIO"
"156","C07AA05","PROPRANOLOL"
"157","C07AA07","SOTALOL"
"158","C07AB02","METOPROLOL"
"159","C07AB03","ATENOLOL"
"160","C07AB07","BISOPROLOL"
"161","C07AB12","NEBIVOLOL"
"162","C07AG01","LABETALOL"
"163","C07AG02","CARVEDILOL"
"164","C08CA01","AMLODIPINA"
"165","C08CA05","NIFEDIPINA"
"166","C08CA06","NIMODIPINA"
"167","C08DA01","VERAPAMILO"
"168","C08DB01","DILTIAZEM"
"169","C09AA01","CAPTOPRIL"
"170","C09AA02","ENALAPRIL"
"171","C09CA03","VALSARTÁN"
"172","C09DA08","OLMESARTÁN MEDOXOMILO Y DIURÉTICOS"
"173","C09DB01","VALSARTÁN Y AMLODIPINO"
"174","C09DX04","VALSARTAN / SACUBITRILO"
"175","C10AA05","ATORVASTATINA"
"176","C10AC01","COLESTIRAMINA"
"177","C10AX09","EZETIMIBA"
"178","D01AC01","CLOTRIMAZOL"
"179","D01AC52","MICONAZOL, COMBINACIONES"
"180","D02AB92","ZINC OXIDO, COMBINACIONES CON"
"181","D02AC91","VASELINA"
"182","D03AX20","EXTRACTO DE CENTELLA ASIÁTICA"
"183","D03BA52","CLOSTRIDIOPEPTIDASA, COMBINACIONES"
"184","D06AA03","OXITETRACICLINA"
"185","D06AX09","MUPIROCINA"
"186","D06BA01","SULFADIAZINA DE PLATA"
"187","D06BB03","ACICLOVIR"
"188","D07AC01","BETAMETASONA"
"189","D07AC14","METILPREDNISOLONA, ACEPONATO DE"
"190","D07AD01","CLOBETASOL"
"191","D07CA01","HIDROCORTISONA CON ANTIBIÓTICOS"
"192","D07CB01","TRIAMCINOLONA CON ANTIBIÓTICOS"
"193","D07CC01","BETAMETASONA CON ANTIBIÓTICOS"
"194","D08AC02","CLORHEXIDINA"
"195","D08AF01","NITROFURAL"
"196","D08AG02","IODO POVIDONA"
"197","D08AL01","NITRATO DE PLATA"
"198","D08AX01","PERÓXIDO DE HIDRÓGENO"
"199","D08AX03","PROPANOL"
"200","D08AX08","ETANOL"
"201","D09AX91","COMBINACIONES DE TUL CON BALSAMO DE PERU"
"202","G01AA51","NISTATINA, COMBINACIONES "
"203","G01AF02","CLOTRIMAZOL"
"204","G02AD02","DINOPROSTONA"
"205","G02CB03","CABERGOLINA"
"206","G03DA04","PROGESTERONA"
"207","G04BD04","OXIBUTININA"
"208","G04BD07","TOLTERODINA"
"209","G04BD08","SOLIFENACINA"
"210","G04BD11","FESOTERODINA"
"211","G04BD12","MIRABEGRON"
"212","G04BE03","SILDENAFILO"
"213","G04CA02","TAMSULOSINA"
"214","G04CA04","SILODOSINA"
"215","G04CA52","TAMSULOSINA Y DUTASTERIDA"
"216","G04CB01","FINASTERIDA"
"217","G04CB02","DUTASTERIDA"
"218","G04CX01","PYGEUM AFRICANUM"
"219","G04CX02","SERENOA REPENS"
"220","H01BA02","DESMOPRESINA"
"221","H01BB02","OXITOCINA"
"222","H01CB01","SOMATOSTATINA"
"223","H01CB02","OCTREOTIDA"
"224","H02AA02","FLUDROCORTISONA"
"225","H02AB01","BETAMETASONA"
"226","H02AB02","DEXAMETASONA"
"227","H02AB04","METILPREDNISOLONA"
"228","H02AB06","PREDNISOLONA"
"229","H02AB07","PREDNISONA"
"230","H02AB09","HIDROCORTISONA"
"231","H02AB13","DEFLAZACORT"
"232","H03AA01","LEVOTIROXINA SÓDICA"
"233","H03BB02","TIAMAZOL"
"234","H04AA01","GLUCAGÓN"
"235","H05AA02","TERIPARATIDA"
"236","J01AA02","DOXICICLINA"
"237","J01AA12","TIGECICLINA"
"238","J01CA01","AMPICILINA"
"239","J01CA04","AMOXICILINA"
"240","J01CF02","CLOXACILINA"
"241","J01CR02","AMOXICILINA E INHIBIDORES DE LA ENZIMA"
"242","J01CR05","PIPERACILINA E INHIBIDORES DE LA ENZIMA"
"243","J01DB04","CEFAZOLINA"
"244","J01DC02","CEFUROXIMA"
"245","J01DD01","CEFOTAXIMA"
"246","J01DD02","CEFTAZIDIMA"
"247","J01DD04","CEFTRIAXONA"
"248","J01DD08","CEFIXIMA"
"249","J01DD16","CEFDITORENO"
"250","J01DD52","CEFTAZIDIMA E INHIBIDORES DE BETALACTAMASA"
"251","J01DE01","CEFEPIMA"
"252","J01DF01","AZTREONAM"
"253","J01DH02","MEROPENEM"
"254","J01DH03","ERTAPENEM"
"255","J01DH51","IMIPENEM E ENZIMA INHIBIDORA"
"256","J01DI02","CEFTAROLINA FOSAMIL"
"257","J01DI54","CEFTOLOZANO Y ENZIMA INHIBIDOR"
"258","J01EE01","SULFAMETOXAZOL Y TRIMETOPRIMA"
"259","J01FA01","ERITROMICINA"
"260","J01FA10","AZITROMICINA"
"261","J01FF01","CLINDAMICINA"
"262","J01GB01","TOBRAMICINA"
"263","J01GB03","GENTAMICINA"
"264","J01GB06","AMIKACINA"
"265","J01MA02","CIPROFLOXACINO"
"266","J01MA12","LEVOFLOXACINO"
"267","J01XA01","VANCOMICINA"
"268","J01XA02","TEICOPLANINA"
"269","J01XB01","COLISTINA"
"270","J01XD01","METRONIDAZOL"
"271","J01XE01","NITROFURANTOÍNA"
"272","J01XX01","FOSFOMICINA"
"273","J01XX08","LINEZOLID"
"274","J01XX09","DAPTOMICINA"
"275","J01XX11","TEDIZOLID"
"276","J02AA01","AMFOTERICINA B"
"277","J02AC01","FLUCONAZOL"
"278","J02AC03","VORICONAZOL"
"279","J02AX04","CASPOFUNGINA"
"280","J02AX05","MICAFUNGINA"
"281","J02AX06","ANIDULAFUNGINA"
"282","J04AB02","RIFAMPICINA"
"283","J04AM05","RIFAMPICINA, PIRAZINAMIDA E ISONIAZIDA"
"284","J05AB01","ACICLOVIR"
"285","J05AB06","GANCICLOVIR"
"286","J05AE20","RITONAVIR Y LOPINAVIR"
"287","J05AH02","OSELTAMIVIR"
"288","J05AR03","TENOFOVIR DISOPROXIL Y EMTRICITABINE"
"289","J06BA02","INMUNOGLOBULINAS HUMANAS NORMALES PARA ADM. INTRAVASCULAR"
"290","J06BB01","INMUNOGLOBULINA ANTI-D (RH)"
"291","L01AA01","CICLOFOSFAMIDA"
"292","L01BA01","METOTREXATO"
"293","L01BC05","GEMCITABINA"
"294","L01CB01","ETOPÓSIDO"
"295","L01XA01","CISPLATINO"
"296","L01XA02","CARBOPLATINO"
"297","L01XC30","ATEZOLIZUMAB"
"298","L01XE18","RUXOLITINIB"
"299","L01XX05","HIDROXICARBAMIDA"
"300","L02AB01","MEGESTROL"
"301","L02BA01","TAMOXIFENO"
"302","L02BG03","ANASTROZOL"
"303","L02BG04","LETROZOL"
"304","L03AA02","FILGRASTIM"
"305","L03AB08","INTERFERÓN BETA-1B"
"306","L04AA01","CICLOSPORINA"
"307","L04AA06","ÁCIDO MICOFENÓLICO"
"308","L04AC03","ANAKINRA"
"309","L04AC07","TOCILIZUMAB"
"310","L04AD01","CICLOSPORINA"
"311","L04AD02","TACROLIMUS"
"312","L04AX01","AZATIOPRINA"
"313","M01AB01","INDOMETACINA"
"314","M01AB05","DICLOFENACO"
"315","M01AE01","IBUPROFENO"
"316","M01AE02","NAPROXENO"
"317","M01AE17","DEXKETOPROFENO"
"318","M02AA15","DICLOFENACO"
"319","M03AB01","SUXAMETONIO"
"320","M03AC04","ATRACURIO"
"321","M03AC09","ROCURONIO, BROMURO DE"
"322","M03AC11","CISATRACURIO"
"323","M03BX01","BACLOFENO"
"324","M03CA01","DANTROLENO"
"325","M04AA01","ALOPURINOL"
"326","M04AC01","COLCHICINA"
"327","M04AC10","COLCHICINA Y DICICLOVERINA"
"328","N01AB07","DESFLURANO"
"329","N01AB08","SEVOFLURANO"
"330","N01AF03","TIOPENTAL"
"331","N01AH06","REMIFENTANILO"
"332","N01AX03","KETAMINA"
"333","N01AX07","ETOMIDATO"
"334","N01AX10","PROPOFOL"
"335","N01BA03","TETRACAÍNA"
"336","N01BB01","BUPIVACAÍNA"
"337","N01BB02","LIDOCAÍNA"
"338","N01BB03","MEPIVACAÍNA"
"339","N01BB51","BUPIVACAÍNA, COMBINACIONES "
"340","N01BB52","LIDOCAÍNA, COMBINACIONES "
"341","N01BX01","ETILCLORURO"
"342","N02AA01","MORFINA"
"343","N02AA05","OXICODONA"
"344","N02AB02","PETIDINA (MEPERIDINA)"
"345","N02AB03","FENTANILO"
"346","N02AX02","TRAMADOL"
"347","N02AX06","TAPENTADOL"
"348","N02BA01","ÁCIDO ACETILSALICÍLICO"
"349","N02BB02","METAMIZOL SÓDICO (DIPIRONA)"
"350","N02BE01","PARACETAMOL"
"351","N03AA02","FENOBARBITAL"
"352","N03AA03","PRIMIDONA"
"353","N03AB02","FENITOÍNA"
"354","N03AE01","CLONAZEPAM"
"355","N03AF01","CARBAMAZEPINA"
"356","N03AF04","ESLICARBAZEPINA"
"357","N03AG01","ÁCIDO VALPROICO"
"358","N03AX09","LAMOTRIGINA"
"359","N03AX11","TOPIRAMATO"
"360","N03AX12","GABAPENTINA"
"361","N03AX14","LEVETIRACETAM"
"362","N03AX15","ZONISAMIDA"
"363","N03AX16","PREGABALINA"
"364","N03AX18","LACOSAMIDA"
"365","N04AA02","BIPERIDENO"
"366","N04BA01","LEVODOPA"
"367","N04BA02","LEVODOPA CON INHIBIDOR DE LA DECARBOXILASA"
"368","N04BC07","APOMORFINA"
"369","N04BC09","ROTIGOTINA"
"370","N04BD02","RASAGILINA"
"371","N05AA01","CLORPROMAZINA"
"372","N05AA02","LEVOMEPROMAZINA"
"373","N05AD01","HALOPERIDOL"
"374","N05AF05","ZUCLOPENTIXOL"
"375","N05AH03","OLANZAPINA"
"376","N05AH04","QUETIAPINA"
"377","N05AL01","SULPIRIDA"
"378","N05AL03","TIAPRIDA"
"379","N05AL05","AMISULPRIDA"
"380","N05AN01","LITIO"
"381","N05AX08","RISPERIDONA"
"382","N05AX09","CLOTIAPINA"
"383","N05AX12","ARIPIPRAZOL"
"384","N05AX13","PALIPERIDONA"
"385","N05BA01","DIAZEPAM"
"386","N05BA05","CLORAZEPATO DE POTASIO"
"387","N05BA06","LORAZEPAM"
"388","N05BA08","BROMAZEPAM"
"389","N05BA12","ALPRAZOLAM"
"390","N05BB01","HIDROXIZINA"
"391","N05CD06","LORMETAZEPAM"
"392","N05CD08","MIDAZOLAM"
"393","N05CF02","ZOLPIDEM"
"394","N05CM02","CLOMETIAZOL"
"395","N05CM18","DEXMEDETOMIDINA"
"396","N06AA04","CLOMIPRAMINA"
"397","N06AA09","AMITRIPTILINA"
"398","N06AB03","FLUOXETINA"
"399","N06AB04","CITALOPRAM"
"400","N06AB05","PAROXETINA"
"401","N06AB06","SERTRALINA"
"402","N06AB08","FLUVOXAMINA"
"403","N06AB10","ESCITALOPRAM"
"404","N06AX05","TRAZODONA"
"405","N06AX11","MIRTAZAPINA"
"406","N06AX14","TIANEPTINA"
"407","N06AX16","VENLAFAXINA"
"408","N06AX21","DULOXETINA"
"409","N06AX23","DESVENLAFAXINA"
"410","N06AX26","VORTIOXETINA"
"411","N06BC01","CAFEÍNA"
"412","N06BX03","PIRACETAM"
"413","N06BX06","CITICOLINA"
"414","N06CA01","AMITRIPTILINA Y PSICOLÉPTICOS"
"415","N06DA02","DONEPEZILO"
"416","N06DA03","RIVASTIGMINA"
"417","N06DX01","MEMANTINA"
"418","N07AA01","NEOSTIGMINA"
"419","N07AA02","PIRIDOSTIGMINA"
"420","N07BA02","BUPROPION"
"421","N07BC01","BUPRENORFINA"
"422","N07CA01","BETAHISTINA"
"423","P01AB01","METRONIDAZOL"
"424","P01BA01","CLOROQUINA"
"425","P01BA02","HIDROXICLOROQUINA"
"426","R03AC02","SALBUTAMOL"
"427","R03AK07","FORMOTEROL Y OTROS AGENTES CONTRA SÍNDROMES OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS"
"428","R03AL04","INDACATEROL / GLICOPIRRONIO, BROMURO"
"429","R03BA02","BUDESONIDA"
"430","R03BB01","IPRATROPIO, BROMURO DE"
"431","R03BB04","BROMURO DE TIOTROPIO"
"432","R03BB05","ACLIDINIO, BROMURO"
"433","R03CA02","EFEDRINA"
"434","R03CC02","SALBUTAMOL"
"435","R03DA04","TEOFILINA"
"436","R03DC03","MONTELUKAST"
"437","R05CB01","ACETILCISTEÍNA"
"438","R05CB05","MESNA"
"439","R05CB06","AMBROXOL"
"440","R05DA04","CODEÍNA"
"441","R05DA09","DEXTROMETORFANO"
"442","R06AB02","DEXCLORFENIRAMINA"
"443","R06AE07","CETIRIZINA"
"444","R06AX13","LORATADINA"
"445","R07AX01","ÓXIDO NÍTRICO"
"446","S01AA02","CLORTETRACICLINA"
"447","S01AA12","TOBRAMICINA"
"448","S01AA30","COMBINACIONES DE DIFERENTES ANTIBIÓTICOS"
"449","S01AX11","OFLOXACINA"
"450","S01AX22","MOXIFLOXACINO"
"451","S01CA01","DEXAMETASONA Y ANTIINFECCIOSOS"
"452","S01EC01","ACETAZOLAMIDA"
"453","S01ED01","TIMOLOL"
"454","S01ED51","TIMOLOL, COMBINACIONES"
"455","S01KA02","HIPROMELOSA"
"456","S01XA02","RETINOL"
"457","S01XA20","LÁGRIMAS ARTIFICIALES Y OTROS PREPARADOS INERTES"
"458","S01XA50","CARBOMERO"
"459","V-DCONO","DIETA COMPLETA OLIGOMERICA NORMOPROTEICA"
"460","V-DCPHH","DIETA COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA"
"461","V-DCPNH","DIETA COMPLETA POLIMERICA NORMOPROTEICA HIPERCALORICA"
"462","V-DCPNN","DIETA COMPLETA POLIM NORMOPROTEICA NORMOCALÓRICA "
"463","V-DEPVM","FORMULA ESPECIAL PARA PACIENTES CON VENTILACIÓN MECÁNICA"
"464","V-DESPE","FÓRMULA COMPLETA ESPECIAL "
"465","V-DMESP","MODULO ESPESANTE"
"466","V03AB14","PROTAMINA"
"467","V03AB15","NALOXONA"
"468","V03AB23","ACETILCISTEÍNA"
"469","V03AB25","FLUMAZENIL"
"470","V03AB35","SUGAMMADEX"
"471","V03AB36","AZUL DE METILENO"
"472","V03AE01","POLIESTIRENO, SULFONATO DE"
"473","V03AE02","SEVELÁMERO"
"474","V03AF03","FOLINATO DE CALCIO"
"475","V03AN01","OXÍGENO"
"476","V03AN04","NITRÓGENO"
"477","V07AB01","AGUA"
"478","V07AZ01","ACETONA"
"479","V07AZ36","SULFATO DE ZINC "
"480","V07AZ42","VASELINA"
"481","V08AB02","IOHEXOL"
"482","V08AB05","IOPROMIDA"
"483","V08AB11","IOBITRIDOL"
"484","V08CA09","GADOBUTROL"
"485","V08DA05","AZUFRE DE HEXAFLUORURO"
"486","V09BA05","TECNECIO (99MTC) FOSFONATO"
"487","V09EB01","TECNECIO (99MTC) MACROSALB"
"488","V09IX04","FLUODEOXIGLUCOSA (18F) "
"489","VFMAT07","SULFATO DE ZINC"
"490","XXXXXXX","SIN CLASIFICAR"
